dayofweek,hour,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
6,10,1,0,0,2,7.38,9.85,80,11.0014,61
6,11,1,0,0,2,8.2,9.09,69,26.0027,62
6,12,1,0,0,2,8.2,9.09,59,23.9994,98
6,13,1,0,0,1,8.2,9.09,44,22.0028,102
6,14,1,0,0,1,8.2,8.335,32,32.9975,95
6,15,1,0,0,1,8.2,8.335,32,30.0026,74
6,16,1,0,0,1,7.38,6.82,29,30.0026,76
6,17,1,0,0,1,6.56,6.06,37,36.9974,69
6,18,1,0,0,1,5.74,6.06,39,19.9995,55
6,19,1,0,0,1,5.74,6.06,36,16.9979,30
6,20,1,0,0,1,4.92,6.06,36,16.9979,28
6,21,1,0,0,1,4.92,5.305,39,23.9994,37
6,22,1,0,0,1,4.92,5.305,36,26.0027,34
6,23,1,0,0,1,4.1,3.03,39,30.0026,22
7,0,1,0,0,1,4.1,3.79,42,26.0027,25
7,1,1,0,0,1,4.1,3.03,42,31.0009,12
7,2,1,0,0,1,4.1,3.03,46,31.0009,11
7,3,1,0,0,1,4.1,3.79,46,27.9993,4
7,4,1,0,0,1,3.28,4.545,53,12.998,1
7,5,1,0,0,1,3.28,4.545,53,12.998,1
7,6,1,0,0,1,4.1,4.545,49,19.0012,1
7,7,1,0,0,1,3.28,4.545,53,12.998,6
7,8,1,0,0,1,4.1,4.545,49,19.0012,10
7,9,1,0,0,1,4.92,3.79,46,35.0008,19
7,10,1,0,0,1,5.74,5.305,43,26.0027,49
7,11,1,0,0,1,6.56,6.06,40,35.0008,49
7,12,1,0,0,1,7.38,6.82,37,30.0026,83
7,13,1,0,0,1,8.2,8.335,34,30.0026,75
7,14,1,0,0,1,9.02,9.09,32,31.0009,72
7,15,1,0,0,1,9.02,9.85,35,23.9994,82
7,16,1,0,0,1,8.2,8.335,34,30.0026,92
7,17,1,0,0,1,7.38,7.575,37,26.0027,62
7,18,1,0,0,1,6.56,6.82,40,22.0028,48
7,19,1,0,0,1,6.56,6.82,43,22.0028,41
7,20,1,0,0,1,5.74,6.06,46,16.9979,38
7,21,1,0,0,1,5.74,5.305,46,27.9993,20
7,22,1,0,0,1,5.74,6.06,46,19.9995,15
7,23,1,0,0,1,4.92,6.82,50,12.998,6
1,0,1,0,1,1,4.92,6.06,50,19.0012,5
1,1,1,0,1,1,4.92,6.06,50,19.0012,1
1,2,1,0,1,1,4.92,6.06,50,15.0013,3
1,3,1,0,1,1,4.92,6.06,50,15.0013,1
1,4,1,0,1,1,4.1,6.06,54,8.9981,3
1,5,1,0,1,1,4.1,5.305,54,16.9979,3
1,6,1,0,1,1,4.92,6.06,50,19.0012,31
1,7,1,0,1,1,4.92,6.06,50,15.0013,77
1,8,1,0,1,2,4.92,6.06,50,19.0012,188
1,9,1,0,1,2,5.74,6.06,50,16.9979,94
1,10,1,0,1,2,5.74,6.06,50,19.9995,31
1,11,1,0,1,2,6.56,6.82,47,19.0012,30
1,12,1,0,1,2,8.2,9.09,40,19.0012,52
1,13,1,0,1,2,8.2,9.09,40,19.0012,54
1,14,1,0,1,2,8.2,9.85,40,15.0013,47
1,15,1,0,1,2,8.2,9.85,40,15.0013,45
1,16,1,0,1,1,8.2,10.605,40,8.9981,74
1,17,1,0,1,1,8.2,11.365,40,7.0015,178
1,18,1,0,1,1,8.2,9.85,40,15.0013,155
1,19,1,0,1,1,6.56,8.335,47,11.0014,95
1,20,1,0,1,1,6.56,8.335,50,11.0014,74
1,21,1,0,1,1,5.74,6.82,59,12.998,38
1,22,1,0,1,1,5.74,7.575,59,11.0014,24
1,23,1,0,1,1,5.74,7.575,59,11.0014,18
2,0,1,0,1,1,5.74,8.335,59,7.0015,12
2,1,1,0,1,1,5.74,7.575,59,11.0014,3
2,2,1,0,1,2,6.56,7.575,55,12.998,3
2,5,1,0,1,2,6.56,9.09,55,8.9981,6
2,6,1,0,1,2,6.56,9.09,55,8.9981,27
2,7,1,0,1,2,6.56,11.365,55,0,99
2,8,1,0,1,2,7.38,10.605,51,6.0032,217
2,9,1,0,1,2,7.38,9.85,51,11.0014,130
2,10,1,0,1,2,8.2,10.605,51,11.0014,54
2,11,1,0,1,2,8.2,10.605,47,8.9981,35
2,12,1,0,1,2,8.2,11.365,51,7.0015,57
2,13,1,0,1,2,8.2,11.365,59,6.0032,52
2,14,1,0,1,2,8.2,11.365,59,6.0032,63
2,15,1,0,1,2,6.56,9.85,80,6.0032,47
2,16,1,0,1,2,6.56,7.575,86,15.0013,76
2,17,1,0,1,2,6.56,7.575,86,15.0013,136
2,18,1,0,1,3,6.56,9.09,93,7.0015,95
2,19,1,0,1,3,6.56,11.365,93,0,51
2,20,1,0,1,3,6.56,7.575,93,12.998,32
2,21,1,0,1,3,6.56,9.85,86,6.0032,20
2,22,1,0,1,3,6.56,9.09,93,7.0015,29
2,23,1,0,1,3,6.56,9.85,93,6.0032,19
3,0,1,0,1,2,6.56,9.85,86,6.0032,7
3,1,1,0,1,2,6.56,9.09,86,7.0015,6
3,2,1,0,1,1,5.74,7.575,86,8.9981,1
3,5,1,0,1,1,5.74,7.575,86,11.0014,5
3,6,1,0,1,1,4.92,7.575,93,8.9981,16
3,7,1,0,1,1,5.74,7.575,69,8.9981,54
3,8,1,0,1,1,6.56,8.335,59,11.0014,128
3,9,1,0,1,1,6.56,6.82,59,22.0028,81
3,10,1,0,1,1,7.38,9.09,55,15.0013,39
3,11,1,0,1,1,8.2,9.09,51,26.0027,35
3,12,1,0,1,1,8.2,7.575,47,39.0007,55
3,13,1,0,1,1,9.02,9.85,44,23.9994,49
3,14,1,0,1,1,8.2,9.09,47,22.0028,44
3,15,1,0,1,1,8.2,8.335,47,27.9993,49
3,16,1,0,1,1,9.02,9.85,44,22.0028,68
3,17,1,0,1,1,8.2,9.09,47,23.9994,139
3,18,1,0,1,1,8.2,7.575,47,35.0008,137
3,19,1,0,1,1,7.38,7.575,47,27.9993,83
3,20,1,0,1,1,6.56,6.82,50,22.0028,56
3,21,1,0,1,1,6.56,6.82,55,22.0028,57
3,22,1,0,1,1,6.56,6.06,55,30.0026,33
3,23,1,0,1,1,5.74,5.305,59,27.9993,20
4,0,1,0,1,1,5.74,6.06,59,19.0012,7
4,1,1,0,1,1,5.74,6.06,50,19.0012,2
4,2,1,0,1,1,5.74,6.06,50,23.9994,2
4,3,1,0,1,1,5.74,6.06,50,22.0028,3
4,4,1,0,1,1,5.74,6.06,50,16.9979,4
4,5,1,0,1,1,5.74,6.06,50,19.9995,3
4,6,1,0,1,1,4.92,7.575,54,8.9981,28
4,7,1,0,1,1,4.92,7.575,54,8.9981,72
4,8,1,0,1,1,5.74,6.82,50,12.998,202
4,9,1,0,1,1,5.74,6.06,50,22.0028,139
4,10,1,0,1,2,6.56,6.82,50,23.9994,38
4,11,1,0,1,2,8.2,8.335,44,30.0026,37
4,12,1,0,1,1,8.2,8.335,44,27.9993,52
4,13,1,0,1,1,9.02,9.85,41,30.0026,83
4,14,1,0,1,1,9.02,9.85,41,26.0027,42
4,15,1,0,1,1,9.84,10.605,38,19.9995,60
4,16,1,0,1,1,9.84,10.605,38,23.9994,78
4,17,1,0,1,1,8.2,9.09,40,19.0012,162
4,18,1,0,1,1,8.2,9.09,40,22.0028,144
4,19,1,0,1,1,6.56,7.575,47,16.9979,99
4,20,1,0,1,1,6.56,7.575,47,15.0013,64
4,21,1,0,1,1,5.74,6.06,46,19.9995,40
4,22,1,0,1,1,5.74,6.06,46,22.0028,30
4,23,1,0,1,1,4.92,6.82,50,12.998,15
5,0,1,0,1,1,4.92,6.82,50,12.998,14
5,1,1,0,1,1,4.1,6.06,54,11.0014,5
5,2,1,0,1,1,4.1,6.06,54,8.9981,1
5,3,1,0,1,1,4.1,6.82,54,7.0015,1
5,5,1,0,1,1,4.1,6.82,54,6.0032,8
5,6,1,0,1,1,4.1,9.09,54,0,17
5,7,1,0,1,1,4.1,6.06,74,11.0014,70
5,8,1,0,1,1,4.92,8.335,68,0,158
5,9,1,0,1,1,5.74,7.575,69,8.9981,117
5,10,1,0,1,1,7.38,9.09,55,12.998,44
5,11,1,0,1,1,7.38,8.335,51,19.0012,53
5,12,1,0,1,1,8.2,9.85,44,16.9979,61
5,13,1,0,1,1,9.02,9.85,37,26.0027,77
5,14,1,0,1,1,9.02,10.605,41,19.0012,64
5,15,1,0,1,1,9.84,12.12,38,11.0014,68
5,16,1,0,1,1,9.02,12.12,41,7.0015,90
5,17,1,0,1,1,9.02,11.365,41,11.0014,159
5,18,1,0,1,1,8.2,12.88,47,0,139
5,19,1,0,1,1,6.56,9.85,59,6.0032,92
5,20,1,0,1,1,7.38,12.12,59,0,68
5,21,1,0,1,1,6.56,11.365,69,0,52
5,22,1,0,1,2,6.56,11.365,69,0,36
5,23,1,0,1,2,7.38,12.12,55,0,27
6,0,1,0,0,1,7.38,12.12,55,0,28
6,1,1,0,0,2,6.56,9.85,59,6.0032,20
6,2,1,0,0,2,6.56,9.85,59,6.0032,12
6,3,1,0,0,2,6.56,11.365,59,0,8
6,4,1,0,0,2,6.56,11.365,59,0,5
6,5,1,0,0,1,6.56,11.365,59,0,1
6,6,1,0,0,1,5.74,8.335,63,7.0015,3
6,7,1,0,0,1,5.74,10.605,63,0,10
6,8,1,0,0,1,5.74,7.575,63,8.9981,23
6,9,1,0,0,1,6.56,9.09,64,8.9981,33
6,10,1,0,0,1,7.38,9.85,59,11.0014,59
6,11,1,0,0,1,8.2,9.85,55,15.0013,72
6,12,1,0,0,1,9.84,11.365,48,15.0013,89
6,13,1,0,0,1,11.48,12.88,38,19.9995,101
6,14,1,0,0,1,12.3,14.395,39,19.0012,118
6,15,1,0,0,2,13.12,15.91,36,12.998,129
6,16,1,0,0,2,13.94,16.665,34,12.998,128
6,17,1,0,0,2,13.12,15.15,36,19.0012,83
6,18,1,0,0,2,12.3,14.395,45,16.9979,84
6,19,1,0,0,2,13.12,15.15,39,16.9979,74
6,20,1,0,0,2,13.12,15.15,39,16.9979,41
6,21,1,0,0,2,13.12,15.15,39,15.0013,57
6,22,1,0,0,2,12.3,15.91,42,7.0015,26
6,23,1,0,0,1,12.3,14.395,45,19.0012,44
7,0,1,0,0,1,10.66,15.15,56,0,39
7,1,1,0,0,1,10.66,13.635,56,8.9981,23
7,2,1,0,0,1,10.66,14.395,56,6.0032,16
7,3,1,0,0,1,9.02,13.635,69,0,15
7,4,1,0,0,1,10.66,12.88,56,11.0014,1
7,5,1,0,0,2,10.66,12.88,56,11.0014,2
7,6,1,0,0,2,10.66,12.88,56,11.0014,1
7,7,1,0,0,2,9.84,10.605,56,19.9995,3
7,8,1,0,0,1,9.02,10.605,55,19.0012,18
7,9,1,0,0,1,9.02,10.605,51,16.9979,32
7,10,1,0,0,1,9.02,10.605,51,19.0012,79
7,11,1,0,0,1,9.84,11.365,44,16.9979,93
7,12,1,0,0,1,9.84,10.605,41,19.0012,104
7,13,1,0,0,1,10.66,11.365,35,19.9995,118
7,14,1,0,0,1,11.48,13.635,36,16.9979,91
7,15,1,0,0,1,10.66,12.12,38,16.9979,113
7,16,1,0,0,1,9.84,11.365,38,15.0013,99
7,17,1,0,0,1,9.02,10.605,37,16.9979,105
7,18,1,0,0,1,8.2,10.605,40,11.0014,67
7,19,1,0,0,1,7.38,9.85,47,8.9981,61
7,20,1,0,0,1,7.38,9.85,47,11.0014,57
7,21,1,0,0,1,7.38,9.85,51,11.0014,28
7,22,1,0,0,2,8.2,10.605,49,8.9981,21
7,23,1,0,0,2,8.2,11.365,40,7.0015,18
1,0,1,1,0,2,8.2,9.85,47,15.0013,17
1,1,1,1,0,2,8.2,9.85,44,12.998,16
1,2,1,1,0,2,7.38,8.335,43,16.9979,8
1,3,1,1,0,2,7.38,9.09,43,12.998,2
1,4,1,1,0,2,7.38,9.85,43,8.9981,3
1,5,1,1,0,2,7.38,9.85,43,11.0014,1
1,6,1,1,0,2,7.38,9.09,43,12.998,5
1,7,1,1,0,2,6.56,9.09,50,8.9981,13
1,8,1,1,0,2,6.56,7.575,47,15.0013,33
1,9,1,1,0,2,6.56,7.575,47,15.0013,47
1,10,1,1,0,2,6.56,7.575,50,16.9979,57
1,11,1,1,0,2,6.56,7.575,55,12.998,64
1,12,1,1,0,2,7.38,9.85,47,8.9981,80
1,13,1,1,0,2,7.38,9.85,47,8.9981,93
1,14,1,1,0,2,7.38,10.605,43,7.0015,86
1,15,1,1,0,2,8.2,10.605,47,11.0014,93
1,16,1,1,0,2,8.2,10.605,47,11.0014,82
1,17,1,1,0,1,8.2,9.85,51,12.998,71
1,18,1,1,0,2,7.38,8.335,55,16.9979,92
1,19,1,1,0,3,7.38,9.09,59,12.998,60
1,20,1,1,0,3,6.56,7.575,80,12.998,33
1,21,1,1,0,3,6.56,7.575,80,12.998,27
1,22,1,1,0,3,5.74,6.06,93,16.9979,13
1,23,1,1,0,3,6.56,6.82,86,19.0012,4
2,12,1,0,1,2,8.2,9.09,86,22.0028,3
2,13,1,0,1,2,8.2,9.85,86,15.0013,22
2,14,1,0,1,2,9.02,11.365,80,11.0014,28
2,15,1,0,1,2,9.02,11.365,87,11.0014,35
2,16,1,0,1,2,9.02,11.365,87,12.998,61
2,17,1,0,1,2,9.02,11.365,82,12.998,125
2,18,1,0,1,2,9.02,11.365,80,11.0014,133
2,19,1,0,1,2,9.02,11.365,80,8.9981,99
2,20,1,0,1,2,9.02,13.635,87,0,83
2,21,1,0,1,2,9.02,12.12,93,7.0015,41
2,22,1,0,1,2,9.02,12.88,93,6.0032,33
2,23,1,0,1,2,9.02,13.635,93,0,20
3,0,1,0,1,2,9.02,13.635,93,0,3
3,1,1,0,1,3,9.02,11.365,93,8.9981,7
3,2,1,0,1,3,9.02,11.365,93,8.9981,3
3,4,1,0,1,3,9.02,11.365,93,8.9981,2
3,5,1,0,1,2,9.02,12.88,93,6.0032,7
3,6,1,0,1,2,9.02,12.88,93,6.0032,32
3,7,1,0,1,2,9.84,12.88,92,7.0015,90
3,8,1,0,1,2,9.84,12.88,93,7.0015,197
3,9,1,0,1,2,9.84,12.88,93,7.0015,109
3,10,1,0,1,2,10.66,13.635,93,8.9981,47
3,11,1,0,1,2,11.48,15.15,87,6.0032,52
3,12,1,0,1,2,12.3,15.91,81,6.0032,70
3,13,1,0,1,1,16.4,20.455,62,19.0012,78
3,14,1,0,1,1,16.4,20.455,58,16.9979,75
3,15,1,0,1,1,16.4,20.455,54,19.0012,82
3,16,1,0,1,1,15.58,19.695,58,26.0027,104
3,17,1,0,1,1,14.76,16.665,57,22.0028,197
3,18,1,0,1,1,13.94,15.91,61,19.0012,161
3,19,1,0,1,1,13.12,14.395,57,27.9993,112
3,20,1,0,1,1,13.12,15.15,49,19.9995,76
3,21,1,0,1,1,13.12,14.395,49,27.9993,59
3,22,1,0,1,1,12.3,15.15,52,11.0014,59
3,23,1,0,1,1,12.3,13.635,52,31.0009,28
2,0,1,0,1,2,6.56,9.09,64,7.0015,8
2,1,1,0,1,2,6.56,9.09,69,7.0015,3
2,2,1,0,1,2,6.56,11.365,69,0,2
2,3,1,0,1,2,6.56,11.365,69,0,2
2,5,1,0,1,3,5.74,10.605,93,0,3
2,6,1,0,1,3,5.74,10.605,93,0,22
2,7,1,0,1,3,6.56,11.365,93,0,52
2,8,1,0,1,3,6.56,11.365,93,0,135
2,9,1,0,1,2,6.56,11.365,93,0,116
2,10,1,0,1,2,6.56,11.365,93,0,47
2,11,1,0,1,2,7.38,12.12,86,0,51
2,12,1,0,1,2,8.2,12.88,86,0,55
2,13,1,0,1,2,8.2,12.88,86,0,52
2,14,1,0,1,2,9.02,12.88,80,6.0032,54
2,15,1,0,1,2,9.84,14.395,75,0,52
2,16,1,0,1,2,9.84,12.12,75,8.9981,64
2,17,1,0,1,2,9.84,14.395,75,0,176
2,18,1,0,1,2,9.84,12.88,81,7.0015,168
2,19,1,0,1,2,9.84,12.12,81,8.9981,108
2,20,1,0,1,2,9.02,11.365,87,8.9981,74
2,21,1,0,1,2,9.02,11.365,87,8.9981,64
2,22,1,0,1,2,9.02,12.88,87,6.0032,36
2,23,1,0,1,3,8.2,9.85,93,12.998,16
3,0,1,0,1,3,9.02,12.12,93,7.0015,2
3,1,1,0,1,3,9.02,11.365,93,12.998,3
3,2,1,0,1,3,9.02,11.365,93,8.9981,4
3,3,1,0,1,3,9.02,11.365,93,8.9981,1
3,4,1,0,1,3,9.02,10.605,93,19.0012,1
3,5,1,0,1,3,9.02,12.12,93,7.0015,3
3,6,1,0,1,3,9.02,12.12,93,7.0015,18
3,7,1,0,1,3,9.02,10.605,93,15.0013,49
3,8,1,0,1,3,9.02,10.605,93,15.0013,155
3,9,1,0,1,2,9.84,12.88,93,6.0032,123
3,10,1,0,1,2,9.02,13.635,100,0,61
3,11,1,0,1,2,9.84,11.365,93,12.998,52
3,12,1,0,1,2,9.84,11.365,93,15.0013,64
3,13,1,0,1,1,13.94,16.665,93,11.0014,75
3,14,1,0,1,1,15.58,19.695,82,26.0027,63
3,15,1,0,1,1,15.58,19.695,76,22.0028,76
3,16,1,0,1,1,14.76,16.665,71,19.9995,103
3,17,1,0,1,1,14.76,15.91,53,35.0008,190
3,18,1,0,1,1,13.94,14.395,42,36.9974,182
3,19,1,0,1,1,11.48,12.12,45,32.9975,91
3,20,1,0,1,1,9.84,9.85,48,36.9974,75
3,21,1,0,1,1,9.02,9.85,47,22.0028,63
3,22,1,0,1,1,9.02,10.605,44,16.9979,40
3,23,1,0,1,1,8.2,8.335,44,30.0026,32
4,0,1,0,1,1,8.2,8.335,40,30.0026,12
4,1,1,0,1,1,8.2,7.575,44,35.0008,5
4,2,1,0,1,1,7.38,8.335,43,16.9979,2
4,3,1,0,1,1,7.38,8.335,43,16.9979,1
4,5,1,0,1,1,6.56,6.82,50,19.9995,2
4,6,1,0,1,1,6.56,6.82,43,23.9994,39
4,7,1,0,1,1,5.74,6.06,50,22.0028,87
4,8,1,0,1,1,5.74,6.06,50,23.9994,188
4,9,1,0,1,1,6.56,6.82,47,19.9995,133
